我,送,你,那,里	C-PN,C-VV,C-PN,M-PN,C-PN
我,知,道,你,的,国,家,在,总,是,很,冷,的,地,方	C-PN,C-VV,C-VV,C-PN,C-DEG,C-NN,C-NN,C-P,R-AD,C-AD,C-AD,C-VA,C-DEC,C-NN,C-NN
我,花,了,很,五,个,钟,头,的,时,间	C-PN,C-VV,C-AS,R-AD,C-CD,C-M,C-NN,C-NN,C-DEG,C-NN,C-NN
我,真,的,很,等,不,及,见,到,你	C-PN,C-AD,C-AD,R-AD,C-VV,C-AD,C-AD,C-VV,C-VV,C-PN
我,觉,得,他,们,对,我,做,最,重,要,的,事,是,带,我,到,处,都,旅,行,和,付,大,学,学,费	C-PN,C-VV,C-VV,C-PN,C-PN,C-P,C-PN,C-VV,C-AD,C-JJ,C-JJ,C-DEG,C-NN,C-VC,C-VV,C-PN,C-AD,C-AD,R-AD,C-VV,C-VV,C-CC,C-VV,C-NN,C-NN,C-NN,C-NN
那,里,真,是,很,漂,亮	C-PN,C-PN,C-AD,C-AD,R-AD,C-VA,C-VA
真,好,开,心,你,会,来,台,北,跟,我,见,面	C-AD,R-AD,C-VV,C-VV,C-PN,C-VV,C-VV,C-NR,C-NR,C-P,C-PN,C-VV,C-VV
最,后,我,决,定,忘,记,一,下,这,件,事	C-AD,C-AD,C-PN,C-VV,C-VV,C-VV,C-VV,R-CD,C-M,C-DT,C-M,C-NN
还,有,见,面,的,地,方,是,捷,运,台,北,车,站,淡,水,线,淡,水,方,向,月,台,最,前	C-AD,C-AD,C-VV,C-VV,C-DEC,C-NN,C-NN,C-VC,C-NN,C-NN,C-NR,C-NR,C-NN,C-NN,C-VA,C-NN,C-NN,C-NR,C-NR,C-NN,C-NN,C-NN,C-NN,R-AD,C-JJ
不,过,当,时,他,来,台,湾,还,不,到,四,个,月,了	C-AD,C-AD,C-NT,C-NT,C-PN,C-VV,C-NR,C-NR,C-AD,C-AD,C-VV,C-CD,C-M,C-NN,R-NN
可,是,我,知,道,他,很,爱,我,的,朋,友,了	C-AD,C-AD,C-PN,C-VV,C-VV,C-PN,C-AD,C-VV,C-PN,C-DEC,C-NN,C-NN,R-SP
再,逛,街,可,以,了,吧	C-AD,C-VV,C-NN,C-VV,C-VV,R-SP,C-SP
同,学,们,都,笑,著,我	C-NN,C-NN,C-NN,C-AD,C-VV,R-VV,C-PN
因,此,我,决,定,了,帮,他,的,忙	C-P,C-PN,C-PN,C-VV,C-VV,R-AS,C-VV,C-PN,C-DEG,C-NN
她,请,了,我,们,去,饭,馆,大,快,朵,颐,一,番	C-PN,C-VV,R-AS,C-PN,C-PN,C-VV,C-NN,C-NN,C-VV,C-VV,C-VV,C-VV,C-CD,C-M
有,时,候,会,迷,路,了	C-AD,C-AD,C-AD,C-VV,C-VV,C-VV,R-SP
老,忘,记,了,把,电,灯,关,上	C-AD,C-VV,C-VV,R-AS,C-BA,C-NN,C-NN,C-VV,C-VV
你,常,常,都,在,深,夜,十,二,点,之,后,才,进,入,了,宿,舍	C-PN,C-AD,C-AD,C-AD,C-P,C-NT,C-NT,C-NT,C-NT,C-NT,C-LC,C-LC,C-AD,C-VV,C-VV,R-AS,C-NN,C-NN
我,忘,记,了,告,诉,你,很,重,要,的,事	C-PN,C-VV,C-VV,R-AS,C-VV,C-VV,C-PN,C-AD,C-JJ,C-JJ,C-DEG,C-NN
我,决,定,了,上,大,学	C-PN,C-VV,C-VV,R-AS,C-VV,C-NN,C-NN
我,知,道,你,在,辛,苦	C-PN,C-VV,C-VV,C-PN,R-AD,C-VA,C-VA
我,知,道,你,很,珍,惜,著,你,跟,你,女,朋,友,聊,天,的,时,间	C-PN,C-VV,C-VV,C-PN,C-AD,C-VV,C-VV,R-AS,C-PN,C-P,C-PN,C-NN,C-NN,C-NN,C-VV,C-VV,C-DEC,C-NN,C-NN
我,很,喜,欢,帮,我,的,朋,友,了	C-PN,C-AD,C-VV,C-VV,C-VV,C-PN,C-DEG,C-NN,C-NN,R-SP
我,真,的,欢,迎,你,当,了,我,的,新,室,友,了	C-PN,C-AD,C-AD,C-VV,C-VV,C-PN,C-VV,C-AS,C-PN,C-DEG,C-JJ,C-NN,C-NN,R-SP
我,发,现,了,你,有,几,个,不,好,的,生,活,习,惯,需,要,改,变	C-PN,C-VV,C-VV,R-AS,C-PN,C-VE,C-CD,C-M,C-AD,C-VA,C-DEC,C-NN,C-NN,C-NN,C-NN,C-VV,C-VV,C-VV,C-VV
我,发,现,了,你,最,近,睡,觉,时,间,太,短,了	C-PN,C-VV,C-VV,R-AS,C-PN,C-NT,C-NT,C-VV,C-VV,C-NN,C-NN,C-AD,C-VA,C-VA
我,想,了,写,给,你,一,封,关,于,国,语,中,心,举,行,的,新,年,晚,会,的,信	C-PN,C-VV,R-AS,C-VV,C-VV,C-PN,C-CD,C-M,C-P,C-P,C-NN,C-NN,C-NN,C-NN,C-VV,C-VV,C-DEC,C-NT,C-NT,C-NN,C-NN,C-DEG,C-NN
每,天,８,点,前,我,一,定,要,到,了,办,公,室	C-AD,C-AD,C-CD,C-M,C-LC,C-PN,C-AD,C-AD,C-VV,C-VV,R-AS,C-NN,C-NN,C-NN
所,以,我,决,定,了,在,他,身,边,过,日,子	C-AD,C-AD,C-PN,C-VV,C-VV,R-AS,C-P,C-PN,C-NN,C-NN,C-VV,C-VV,C-VV
所,以,我,想,了,半,天,才,决,定,了,写,信,给,你	C-AD,C-AD,C-PN,C-VV,C-AS,C-CD,C-M,C-AD,C-VV,C-VV,R-AS,C-VV,C-VV,C-VV,C-PN
东,西,放,著,在,房,间,里	C-NN,C-NN,C-VV,R-VV,C-P,C-NN,C-NN,C-NN
是,一,个,夜,猫,族,了	C-VC,C-CD,C-CD,C-NN,C-NN,C-NN,R-SP
常,常,遇,到,了,语,言,上,的,问,题	C-AD,C-AD,C-VV,C-VV,R-AS,C-NN,C-NN,C-NN,C-DEG,C-NN,C-NN
给,我,跟,家,人,一,样,的,待,遇,了	C-P,C-PN,C-P,C-NN,C-NN,C-VA,C-VA,C-DEC,C-NN,C-NN,R-SP
当,时,他,不,老,了	C-NT,C-NT,C-PN,C-AD,C-VA,R-SP
请,你,赶,快,告,诉,我,了	C-VV,C-PN,C-AD,C-AD,C-VV,C-VV,C-PN,R-SP
在,日,常,生,活,里,人,们,会,总,会,受,到,别,人,的,帮,助	C-P,C-VV,C-VV,C-VV,C-VV,C-LC,C-NN,C-NN,R-VV,C-AD,C-VV,C-VV,C-VV,C-NN,C-NN,C-DEG,C-NN,C-NN
在,台,北,车,站,对,面,的,新,光,三,越,百,货,公,司,门,口,要,见,面	C-P,C-NR,C-NR,C-NN,C-NN,C-NN,C-NN,C-DEG,C-NR,C-NR,C-NR,C-NR,C-NN,C-NN,C-NN,C-NN,C-NN,C-NN,R-VV,C-VV,C-VV
我,不,要,因,这,个,小,小,的,事,情,而,会,被,迫,请,师,长,换,房,间	C-PN,C-AD,C-AD,C-P,C-DT,C-DT,C-NN,C-NN,C-NN,C-NN,C-NN,C-MSP,R-VV,C-SB,C-VV,C-VV,C-NN,C-NN,C-VV,C-NN,C-NN
我,只,好,得,等,半,个,小,时,上,下,一,辆,巴,士	C-PN,C-AD,C-AD,R-VV,C-VV,C-CD,C-M,C-NN,C-NN,C-LC,C-LC,C-CD,C-M,C-NN,C-NN
我,很,开,心,可,以,有,这,个,机,会,可,以,见,到,你	C-PN,C-AD,C-VA,C-VA,C-VV,C-VV,C-VE,C-DT,C-DT,C-NN,C-NN,R-VV,C-VV,C-VV,C-VV,C-PN
差,不,多,每,个,人,都,会,爱,吃	C-AD,C-AD,C-AD,C-DT,C-DT,C-NN,C-AD,R-VV,C-VV,C-VV
也,没,有,什,么,大,件,事	C-AD,C-VE,C-VE,C-DT,C-DT,C-JJ,R-JJ,C-NN
你,到,底,只,有,一,夜,喝,了,多,少,的,啤,酒,呢	C-PN,C-AD,C-AD,R-AD,C-VE,C-CD,C-NN,C-VV,C-AS,C-CD,C-CD,C-DEG,C-NN,C-NN,C-SP
不,过,这,几,天,的,你,的,生,活	C-AD,C-AD,C-DT,C-CD,C-M,R-DEG,C-PN,C-DEG,C-NN,C-NN
可,以,猜,猜,看,我,长,大,了,要,做,甚,么,的	C-VV,C-VV,C-AD,C-AD,C-VV,C-PN,C-VV,C-VV,C-AS,C-VV,C-VV,C-DT,C-DT,R-DEG
可,是,在,找,房,间,的,过,程,中,我,们,遇,到,了,不,少,的,很,开,心,的,事,情	C-AD,C-AD,C-P,C-VV,C-NN,C-NN,C-DEC,C-NN,C-NN,C-LC,C-PN,C-PN,C-VV,C-VV,C-AS,C-CD,C-CD,R-DEG,C-AD,C-JJ,C-JJ,C-DEG,C-NN,C-NN
外,籍,同,学,需,要,日,本,同,学,的,帮,忙,的,时,候	C-JJ,C-JJ,C-NN,C-NN,C-VV,C-VV,C-NR,C-NR,C-NN,C-NN,R-DEG,C-NN,C-NN,C-DEC,C-NN,C-NN
因,为,那,是,我,的,第,一,次,去,北,京	C-P,C-P,C-PN,C-VC,C-PN,R-DEG,C-OD,C-OD,C-M,C-VV,C-NR,C-NR
因,为,刚,做,了,一,件,好,的,事	C-P,C-P,C-AD,C-VV,C-AS,C-CD,C-M,C-JJ,R-DEG,C-NN
如,果,你,不,改,变,这,些,你,的,不,好,的,生,活,习,惯	C-CS,C-CS,C-PN,C-AD,C-VV,C-VV,C-DT,C-DT,C-PN,R-DEG,C-JJ,C-JJ,C-DEG,C-NN,C-NN,C-NN,C-NN
如,果,需,要,学,校,的,办,公,室,的,帮,忙	C-CS,C-CS,C-VV,C-VV,C-NN,C-NN,R-DEG,C-NN,C-NN,C-NN,C-DEG,C-NN,C-NN
你,的,学,校,的,生,活,好,吗	C-PN,C-DEG,C-NN,C-NN,R-DEG,C-NN,C-NN,C-VA,C-SP
我,的,第,一,天,上,课,的,时,候	C-PN,R-DEG,C-OD,C-OD,C-M,C-VV,C-VV,C-DEC,C-NN,C-NN
我,们,差,不,多,看,过,十,多,个,的,房,间	C-PN,C-PN,C-AD,C-AD,C-AD,C-VV,C-AS,C-CD,C-CD,C-M,R-DEG,C-NN,C-NN
就,像,我,读,高,中,的,时,一,样	C-AD,C-P,C-PN,C-VV,C-NN,C-NN,R-DEC,C-NN,C-VA,C-VA
当,天,的,我,的,样,子	C-NT,C-NT,R-DEG,C-PN,C-DEG,C-NN,C-NN
像,女,生,的,一,样	C-P,C-NN,C-NN,R-DEG,C-VA,C-VA
虽,然,我,们,班,的,有,的,同,学,住,在,比,较,远,的,地,方	C-CS,C-CS,C-PN,C-PN,C-NN,R-DEG,C-DT,C-DT,C-NN,C-NN,C-VV,C-P,C-AD,C-AD,C-VA,C-DEC,C-NN,C-NN
你,虽,然,刚,刚,搬,来,我,家,的	C-PN,C-CS,C-CS,C-AD,C-AD,C-VV,C-VV,C-PN,C-NN,R-DEG
我,希,望,你,的,不,好,的,生,活,习,惯,会,变,成,好,的	C-PN,C-VV,C-VV,C-PN,R-DEG,C-JJ,C-JJ,C-DEG,C-NN,C-NN,C-NN,C-NN,C-VV,C-VV,C-VV,C-VA,C-DEC
我,喜,欢,你,的,活,泼,的,个,性	C-PN,C-VV,C-VV,C-PN,R-DEG,C-VA,C-VA,C-DEC,C-NN,C-NN
其,实,你,的,晚,睡,晚,起,的,习,惯,给,我,带,来,疲,劳	C-AD,C-AD,C-PN,R-DEG,C-VV,C-VV,C-VV,C-VV,C-DEC,C-NN,C-NN,C-P,C-PN,C-VV,C-VV,C-NN,C-NN
请,你,吃,饭,的,以,后,把,桌,子,上,弄,干,净	C-VV,C-PN,C-VV,C-VV,R-DEC,C-AD,C-AD,C-BA,C-NN,C-NN,C-LC,C-VV,C-VV,C-VV
我,会,在,第,一,楼,等,你	C-PN,C-VV,C-P,R-OD,C-OD,C-NN,C-ETC,C-PN
这,是,我	R-PN,C-VC,C-PN
这,就,是,晚,间,的,电,话	R-PN,C-AD,C-VC,C-NT,C-NT,C-DEG,C-NN,C-NN
我,们,在,很,贵,的,餐,厅,去,吃,宫,保,鸡,丁	C-PN,C-PN,C-P,C-AD,C-JJ,C-JJ,C-NN,C-NN,R-VV,C-VV,C-VV,C-VV,C-VV,C-VV
我,有,一,个,秃,头	C-PN,C-VE,R-CD,C-CD,C-NN,C-NN
全,世,界,上,是,爸,爸,妈,妈,帮,我,最,多	C-NN,C-NN,C-NN,R-LC,C-VC,C-NN,C-NN,C-NN,C-NN,C-VV,C-PN,C-AD,C-VA
在,心,中,里	C-P,C-NN,C-NN,R-LC
我,身,上,发,现,的,问,题,是,什,么	C-PN,R-NN,C-NN,C-VV,C-VV,C-DEC,C-NN,C-NN,C-VC,C-PN,C-PN
我,希,望,你,改,掉,这,两,个,你,的,生,活,习,惯	C-PN,C-VV,C-VV,C-PN,C-VV,C-VV,C-DT,C-CD,C-M,R-PN,C-DEG,C-NN,C-NN,C-NN,C-NN
台,湾,有,一,天,在,学,校,遇,到,一,个,新,同,学	R-NR,C-NR,C-VE,C-CD,C-M,C-P,C-NN,C-NN,C-VV,C-VV,C-CD,C-CD,C-JJ,C-NN,C-NN
先,走,路,去,淡,江,高,中,学,校	C-AD,C-VV,C-VV,C-VV,C-JJ,C-NR,C-NN,C-NN,R-NN,C-NN
再,加,上,我,不,容,易,了,解,他,的,头,脑,情,况	C-AD,C-VV,C-VV,C-PN,C-AD,C-AD,C-AD,C-VV,C-VV,C-PN,C-DEG,R-NN,C-NN,C-NN,C-NN
我,的,手,机,响,起,声,音,来	C-PN,C-DEG,C-NN,C-NN,C-VV,C-VV,R-NN,C-NN,C-VV
我,觉,得,我,命,是,世,界,上,最,幸,福,的	C-PN,C-VV,C-VV,C-PN,R-NN,C-VC,C-NN,C-NN,C-LC,C-AD,C-VA,C-VA,C-DEC
房,东,叫,他,们,搬,餐,厅,到,别,的,地,方,去	C-NN,C-NN,C-VV,C-PN,C-PN,C-VV,R-NN,C-NN,C-VV,C-DT,C-DT,C-NN,C-NN,C-VV
通,常,都,聊,到,天,快,要,亮,时,候,才,去,睡	C-AD,C-AD,C-AD,C-VV,C-VV,C-NN,C-NN,C-VV,C-VV,R-NN,C-NN,C-AD,C-VV,C-VV
一,定,要,好,好,地,念,书,的,习,惯	C-AD,C-AD,C-VV,C-AD,C-AD,C-DEV,C-VV,C-VV,R-DEC,C-NN,C-NN
下,个,礼,拜,他,已,经,忘,记,关,于,我,上,个,礼,拜,教,什,么	C-DT,C-DT,C-NN,C-NN,C-PN,C-AD,C-AD,C-VV,C-VV,R-P,C-P,C-PN,C-DT,C-M,C-NN,C-NN,C-VV,C-PN,C-PN
我,在,上,课,不,太,了,解,的,时,候,常,去,找,他,问,几,个,问,题	C-PN,R-P,C-VV,C-VV,C-AD,C-AD,C-VV,C-VV,C-DEC,C-NN,C-NN,C-VV,C-VV,C-VV,C-PN,C-VV,C-CD,C-M,C-NN,C-NN
我,很,高,兴,我,们,最,近,约,好,了,跟,一,起,见,面	C-PN,C-AD,C-VA,C-VA,C-PN,C-PN,C-NT,C-NT,C-VV,C-VV,C-AS,R-P,C-AD,C-AD,C-VV,C-VV
我,从,下,班,要,回,家	C-PN,R-P,C-VV,C-VV,C-VV,C-VV,C-NN
那,个,车,站,附,近,有,在,日,本,最,大,的,机,场	C-DT,C-DT,C-NN,C-NN,C-NN,C-NN,C-VE,R-P,C-NR,C-NR,C-AD,C-VA,C-DEC,C-NN,C-NN
虽,然,习,惯,成,自,然,以,后,相,当,难,以,改,正	C-CS,C-CS,C-VV,C-VV,C-VV,C-NN,C-NN,C-LC,C-LC,C-AD,C-AD,C-AD,R-AD,C-VV,C-VV
她,决,定,开,餐,厅,的,理,由,是,还,蛮,特,别,的	C-PN,C-VV,C-VV,C-VV,C-NN,C-NN,C-DEC,C-NN,C-NN,R-VC,C-AD,C-AD,C-VA,C-VA,C-SP
您,可,不,可,以,跟,我,们,一,起,来,参,加,好,吗	C-PN,C-VV,C-AD,C-VV,C-VV,C-P,C-PN,C-PN,C-AD,C-AD,C-VV,C-VV,C-VV,R-VA,C-SP
以,及,他,们,是,有,最,多,的,经,验	C-AD,C-AD,C-PN,C-PN,R-VC,C-VE,C-AD,C-VA,C-DEC,C-NN,C-NN
可,是,老,板,说,因,为,我,的,皮,肤,不,是,白	C-AD,C-AD,C-NN,C-NN,C-VV,C-P,C-P,C-PN,C-DEG,C-NN,C-NN,C-AD,R-VC,C-VA
再,说,是,很,幽,默	C-AD,C-AD,R-VC,C-AD,C-VA,C-VA
她,大,概,会,是,很,高,兴	C-PN,C-AD,C-AD,C-VV,R-VC,C-AD,C-VA,C-VA
我,是,也,有,过,这,种,经,验	C-PN,R-VC,C-AD,C-VE,C-AS,C-NN,C-NN,C-NN,C-NN
我,妈,妈,也,是,帮,我,发,现,我,喜,欢,参,加,的,活,动	C-PN,C-NN,C-NN,C-AD,R-VC,C-VV,C-PN,C-VV,C-VV,C-PN,C-VV,C-VV,C-VV,C-VV,C-DEC,C-NN,C-NN
我,觉,得,唱,中,文,歌,的,好,处,是,不,少	C-PN,C-VV,C-VV,C-VV,C-NN,C-NN,C-NN,C-DEG,C-NN,C-NN,R-VC,C-AD,C-VA
看,起,来,是,像,中,国,人	C-VV,C-VV,C-VV,R-VC,C-P,C-NR,C-NR,C-NN
然,后,是,也,是,个,超,好,吃,的,点,心	C-AD,C-AD,R-VC,C-AD,C-VC,C-M,C-VV,C-VA,C-VA,C-DEC,C-NN,C-NN
我,每,次,都,吓,死,我,了	R-PN,C-AD,C-AD,C-AD,C-VV,C-VV,C-PN,C-SP
他,们,不,但,送,给,我,生,活	C-PN,C-PN,C-AD,C-AD,R-VV,C-VV,C-PN,C-NN,C-NN
他,说,完,就,掉,起,了,几,滴,眼,泪	C-PN,C-VV,C-VV,C-AD,C-VV,R-VV,C-AS,C-CD,C-M,C-NN,C-NN
可,以,回,答,告,诉,我	C-VV,C-VV,R-VV,C-VV,C-VV,C-VV,C-PN
但,是,这,几,天,我,发,现,到,你,有,一,些,生,活,上,不,好,的,习,惯	C-AD,C-AD,C-DT,C-CD,C-M,C-PN,S-VV,C-VV,C-VV,C-PN,C-VE,C-CD,C-CD,C-NN,C-NN,C-LC,C-AD,C-AD,C-DEC,C-NN,C-NN
你,上,的,信,让,我,非,常,高,兴	C-PN,R-VV,C-DEC,C-NN,C-VV,C-PN,C-AD,C-AD,C-VA,C-VA
你,应,该,带,我,到,可,去,的,地,方,去,喽	C-PN,C-VV,C-VV,C-VV,C-PN,C-VV,C-VV,C-VV,C-DEC,C-NN,C-NN,R-VV,C-SP
你,虽,然,从,上,个,月,起,跟,我,一,起,过,生,活	C-PN,C-CS,C-CS,C-P,C-NR,C-NR,C-NR,C-VV,C-P,C-PN,C-CD,C-M,R-VV,C-NN,C-NN
希,望,可,以,找,到,一,个,适,合,我,的,生,活,的,房,子,住	C-VV,C-VV,C-VV,C-VV,C-VV,C-VV,C-CD,C-CD,C-VV,C-VV,C-PN,C-DEG,C-NN,C-NN,C-DEG,C-NN,C-NN,R-VV
我,很,想,到,跟,你,见,面	C-PN,C-AD,S-VV,C-VV,C-P,C-PN,C-VV,C-VV
我,们,可,以,用,打,电,话,联,络	C-PN,C-PN,C-VV,C-VV,R-P,C-VV,C-VV,C-VV,C-VV,C-VV
我,们,在,很,贵,的,餐,厅,去,吃,宫,保,鸡,丁	C-PN,C-PN,C-P,C-AD,C-JJ,C-JJ,C-NN,C-NN,R-VV,C-VV,C-VV,C-VV,C-VV,C-VV
我,们,在,很,贵,的,餐,厅,去,吃,宫,保,鸡,丁	C-PN,C-PN,C-P,C-AD,C-JJ,C-JJ,C-NN,C-NN,R-VV,C-VV,C-VV,C-VV,C-VV,C-VV
我,们,能,坐,捷,运,跑,到,大,部,分,的,台,北,的,著,名,的,地,方	C-PN,C-PN,C-VV,C-VV,C-NN,C-NN,S-VV,C-VV,C-CD,C-CD,C-CD,C-DEG,C-NR,C-NR,C-DEC,C-JJ,C-JJ,C-DEG,C-NN,C-NN
我,想,我,们,都,不,会,长,像,现,在,那,么,善,良	C-PN,C-VV,C-VV,C-NN,C-AD,C-AD,C-NN,R-NN,C-P,C-NT,C-NT,C-AD,C-AD,C-VA,C-VA
我,跟,他,每,个,礼,拜,出,去,到,台,南,高,铁,站,骑,脚,踏,车	C-PN,C-P,C-PN,C-DT,C-DT,C-NN,C-NN,R-VV,C-VV,C-VV,C-NR,C-NR,C-NN,C-NN,C-VV,C-VV,C-NN,C-NN,C-NN
我,觉,得,我,们,做,表,演,的,节,目,中	C-PN,C-VV,C-VV,C-PN,C-PN,R-VV,C-NN,C-NN,C-DEC,C-NN,C-NN,C-LC
所,以,我,去,书,店,去,给,妈,妈,买,几,本,书,当,礼,物	C-AD,C-AD,C-PN,C-VV,C-NN,C-NN,R-VV,C-P,C-NN,C-NN,C-VV,C-CD,C-M,C-NN,C-VV,C-NN,C-NN
桌,上,的,垃,圾,马,上,去,丢,掉	C-NN,C-NN,C-DEG,C-NN,C-NN,C-AD,C-AD,R-VV,C-VV,C-VV
然,后,去,坐,公,车,去,渔,人,码,头	C-AD,C-AD,R-VV,C-VV,C-NN,C-NN,C-VV,C-NN,C-NN,C-NN,C-NN
然,后,我,们,去,很,多,去,有,名,的,地,方	C-AD,C-AD,C-PN,C-PN,C-VV,C-AD,C-AD,R-VV,C-JJ,C-JJ,C-DEG,C-NN,C-NN
然,后,我,们,搭,计,程,车,去,国,父,纪,念,馆,去,参,观,交,响,音,乐,会	C-AD,C-AD,C-PN,C-PN,C-VV,C-VV,C-VV,C-VV,C-VV,C-NN,C-NN,C-NN,C-NN,C-NN,R-VV,C-VV,C-VV,C-VV,C-VV,C-VV,C-VV,C-VV
虽,然,我,的,爸,爸,能,把,责,任,丢,给,他,们,去	C-CS,C-CS,C-PN,C-DEG,C-NN,C-NN,C-VV,C-BA,C-NN,C-NN,C-VV,C-VV,C-PN,C-PN,R-VV
虽,然,我,们,每,天,在,同,一,间,房,子,里,一,起,过,生,活	C-CS,C-CS,C-PN,C-PN,C-AD,C-AD,C-P,C-DT,C-DT,C-LC,C-NN,C-NN,C-LC,C-CD,C-M,R-VV,C-NN,C-NN
可,能,我,会,穿,很,有,花,的,衣,服	C-AD,C-AD,C-PN,C-VV,C-VV,C-AD,R-VE,C-JJ,C-DEG,C-NN,C-NN
如,果,我,只,能,选,一,个,在,我,生,活,里,有,帮,助,我,的,人	C-CS,C-CS,C-PN,C-AD,C-AD,C-VV,C-AD,C-AD,C-P,C-PN,C-NN,C-NN,C-LC,R-VV,C-VV,C-VV,C-PN,C-DEC,C-NN
有,很,多,人,有,帮,助,我	C-VE,C-CD,C-CD,C-NN,R-VV,C-VV,C-VV,C-PN
我,小,时,候,过,了,很,愉,快,的,生,活,也,有,交,过,很,多,朋,友	C-PN,C-NT,C-NT,C-NT,C-VV,C-AS,C-AD,C-VA,C-VA,C-DEC,C-NN,C-NN,C-AD,R-VE,C-VV,C-AS,C-CD,C-CD,C-NN,C-NN
我,有,去,过,日,本	C-PN,R-VE,C-VV,C-AS,C-NR,C-NR
我,有,朋,友,叫,陈,香,香	C-PN,R-VE,C-NN,C-NN,C-VV,C-NR,C-NN,C-NN
我,有,注,意,他,们,的,动,作	C-PN,R-VE,C-VV,C-VV,C-PN,C-PN,C-DEG,C-NN,C-NN
我,有,对,空,气,过,敏	C-PN,R-VE,C-JJ,C-JJ,C-NN,C-VA,C-VA
我,来,台,湾,以,后,在,有,一,家,烧,肉,餐,厅,打,工	C-PN,C-VV,C-NR,C-NR,C-LC,C-LC,C-AD,R-VE,C-CD,C-M,C-NN,C-NN,C-NN,C-NN,C-VV,C-VV
我,们,是,在,有,一,家,餐,厅,认,识,的	C-PN,C-PN,C-VC,C-AD,R-VE,C-CD,C-M,C-NN,C-NN,C-VV,C-VV,C-SP
我,碰,到,有,一,个,小,孩	C-PN,C-VV,C-VV,R-VE,C-CD,C-CD,C-NN,C-NN
我,虽,然,有,整,理,过	C-PN,C-CS,C-CS,R-VE,C-VV,C-VV,C-AS
要,先,有,自,爱	C-VV,C-AD,R-VE,C-NN,C-NN
他,们,用,自,己,赚,的,钱,来,去,旅,行	C-PN,C-PN,C-P,C-PN,C-PN,C-VV,C-DEC,C-NN,R-VV,C-VV,C-NN,C-NN
你,也,知,道,我,是,对,书,挺,有,兴,趣,去,的	C-PN,C-AD,C-VV,C-VV,C-PN,C-VC,C-P,C-NN,C-AD,C-VE,C-NN,C-NN,R-VV,C-SP
我,们,去,光,华,商,场,去,看,看,电,脑,和,电,脑,零,件,等,等	C-PN,C-PN,C-VV,C-NR,C-NR,C-NN,C-NN,R-VV,C-VV,C-VV,C-NN,C-NN,C-CC,C-NN,C-NN,C-NN,C-NN,C-ETC,C-ETC
我,觉,得,来,表,示,我,的,感,谢	C-PN,C-VV,C-VV,R-VV,C-VV,C-VV,C-PN,C-DEG,C-NN,C-NN
下,次,就,如,果,你,回,国	C-AD,C-AD,R-AD,C-CS,C-CS,C-PN,C-VV,C-VV
全,家,身,体,仍,然,都,不,舒,服	C-NN,C-NN,C-NN,C-NN,R-AD,C-AD,C-AD,C-AD,C-VA,C-VA
但,我,们,不,就,仍,过,得,颇,充,实,嘛	C-AD,C-PN,C-PN,C-AD,R-AD,C-AD,C-VV,C-DER,C-AD,C-VV,C-VV,C-SP
但,是,他,对,不,认,识,的,人,还,真,很,好	C-AD,C-AD,C-PN,C-P,C-AD,C-VV,C-VV,C-DEC,C-NN,C-AD,C-AD,R-AD,C-VA
我,们,还,没,不,知,道,对,方,的,样,子	C-PN,C-PN,C-AD,R-AD,C-AD,C-VV,C-VV,C-PN,C-PN,C-DEG,C-NN,C-NN
所,以,我,建,议,你,不,论,如,何,再,离,他,远,一,点,比,较,好	C-AD,C-AD,C-PN,C-VV,C-VV,C-PN,C-AD,C-AD,C-AD,C-AD,R-AD,C-VV,C-PN,C-VA,C-AD,C-AD,C-AD,C-AD,C-VA
所,产,生,这,个,情,形,的,原,因	R-AD,C-VV,C-VV,C-DT,C-DT,C-NN,C-NN,C-DEG,C-NN,C-NN
爸,妈,说,最,好,的,活,动,是,在,家,一,起,在,说,话	C-NN,C-NN,C-VV,C-AD,C-VA,C-DEC,C-NN,C-NN,C-VC,C-P,C-NN,C-CD,C-M,R-P,C-VV,C-VV
花,莲,都,一,直,保,持,著,很,美,丽,的,环,境	C-NR,C-NR,R-AD,C-AD,C-AD,C-VV,C-VV,C-AS,C-AD,C-VA,C-VA,C-DEC,C-NN,C-NN
孩,子,们,长,大,以,后,也,再,不,会,孤,单	C-NN,C-NN,C-NN,C-VV,C-VV,C-LC,C-LC,C-AD,R-AD,C-AD,C-VV,C-VA,C-VA
从,小,时,候,开,始,每,天,每,次,帮,助,我,的,人,是,我,妈,妈	C-P,C-NT,C-NT,C-NT,C-VV,C-VV,C-AD,C-AD,R-AD,C-AD,C-VV,C-VV,C-PN,C-DEC,C-NN,C-VC,C-PN,C-NN,C-NN
从,我,先,到,了,台,湾,以,来	C-P,C-PN,R-VV,C-VV,C-AS,C-NR,C-NR,C-LC,C-LC
终,于,放,弃,考,试,就,去,当,兵	C-AD,C-AD,C-VV,C-VV,C-NN,C-NN,R-AD,C-VV,C-VV,C-VV
这,是,因,文,化,不,同,而,才,发,生,的,事	C-PN,C-VC,C-P,C-NN,C-NN,C-VA,C-VA,C-MSP,R-AD,C-VV,C-VV,C-DEC,C-NN
连,餐,厅,的,味,道,都,就,让,人,的,口,水,流,出,来	C-AD,C-NN,C-NN,C-DEG,C-NN,C-NN,C-AD,R-AD,C-VV,C-NN,C-DEG,C-NN,C-NN,C-VV,C-VV,C-VV
